nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
REJANE RIBEIRO SOUSA DIAS,F,04/09/1972,90,0,2,65,0,33,0,238951.27000000002,16913.54,23065.31,34072.61,41316.06,35393.2,27658.11,30276.4,10634.6,10120.33,9141.1,360.01,,1022389.3799999999,94123.29,94123.29,94123.29,96640.01,103386.0,97900.48,110730.33,111077.25,111077.25,109208.19,,,33763.0
FERNANDA MELCHIONNA E SILVA,F,02/02/1984,88,1,3,54,0,9,0,296458.41000000003,20500.17,21194.89,56736.14,41442.21,70363.57,28035.03,34736.5,7126.13,2238.54,13667.64,417.59,,1089686.5599999998,108969.03,110770.2,111295.57,111471.67,111471.67,111005.21,108790.95,108173.01,107268.84,100470.41,,,33763.0
FLÁVIA CAROLINA PÉRES,F,21/01/1980,60,5,4,0,1,3,0,94924.34,,,0.0,6864.73,10563.71,18634.34,15284.18,16185.53,14441.81,12950.04,0.0,,584981.5499999999,0.0,0.0,1906.24,70338.95,79195.45,81408.68,85648.32,88827.97,88827.97,88827.97,,,33763.0
GREYCE DE QUEIROZ ELIAS,F,15/12/1981,77,12,3,28,4,18,1,171166.03999999995,14671.44,18523.74,21705.97,35221.54,45590.67,15599.72,12425.68,2786.62,2040.22,2184.36,416.08,,1068635.25,101294.97,95517.25,104632.97,104398.53,107931.21,110975.7,110129.51,110600.89,111580.83,111573.39,,,33763.0
FLÁVIA CARREIRO ALBUQUERQUE MORAIS,F,26/04/1969,86,6,0,123,3,0,0,292534.36,31961.04,33702.59,35431.93,33636.11,33829.17,29972.17,26739.93,26234.48,22945.49,18042.05,39.4,,1110232.7,110555.68,110555.68,110555.68,110555.68,111091.22,110994.42,111182.0,111580.78,111580.78,111580.78,,,33763.0
GLEISI HELENA HOFFMANN,F,06/09/1965,66,26,0,3,1,4,0,356166.14999999997,48759.04,47652.4,59416.08,55375.62,43129.42,20852.42,26211.68,23293.93,17899.82,13254.54,321.2,,1115264.2000000002,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,,,33763.0
Geovânia de Sá,F,30/03/1972,91,1,0,15,0,0,0,291293.02,24548.31,31895.95,46155.4,48301.66,38575.18,41038.25,24556.46,10926.74,3937.68,21317.39,40.0,,1099857.22,111111.81,111610.95,111659.69,111659.69,110768.99,110692.78,103468.98,111168.24,111168.24,106547.85,,,33763.0
IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,F,23/04/1966,35,0,4,0,0,0,0,160050.65,33126.14,37905.45,54717.25,-799.73,,,,17561.17,8098.8,9441.57,0.0,,1112345.6300000001,111653.55,110382.33,111176.32,111235.02,111235.02,111235.02,111235.02,111235.02,111304.78,111653.55,,,33763.0
JANDIRA FEGHALI,F,17/05/1957,91,0,1,41,0,28,0,301210.2,16677.6,41606.05,42043.96,41561.42,33766.08,35266.15,30544.63,18967.72,23146.67,16977.22,652.7,,1091025.08,111186.43,110346.75,110883.15,110883.15,110883.15,110883.15,106843.71,109640.24,105683.13,103792.22,,,33763.0
DIRLAINE JAQUELINE CASSOL,F,03/12/1974,81,8,3,47,8,15,0,301704.5899999999,38881.19,35836.11,33841.17,57249.08,71115.17,20997.72,21444.7,11534.22,2240.92,7424.0,1140.31,,1101655.82,111665.59,111362.29,107986.55,110884.32,111208.12,110180.25,108177.15,110472.02,111321.85,108397.68,,,33763.0
